keyword,canonical_form,cluster_id,freq
Reconfiguring,Reconfiguring,Reconfiguring,1
Seizing,Seizing,Seizing,1
Sensing,Sensing,Sensing,5
Cocoa by-products,Cocoa by-products,Cocoa by-products,3
Inter-firm network,Inter-firm network,Inter-firm network,1
Nutrients cycle,Nutrients cycle,Nutrients cycle,2
Bread baking,Bread baking,Bread baking,1
Breadmaking,Breadmaking,Breadmaking,2
Dough kneading,Dough kneading,Dough kneading,1
Innovations in agriculture,Innovations in agriculture,Innovations in agriculture,1
Optimization of wheat cultivation,Optimization of wheat cultivation,Optimization of wheat cultivation,1
Sustainable food productions,Sustainable food productions,Sustainable food productions,1
Wheat milling,Wheat milling,Wheat milling,1
Multifunctionality,Multifunctionality,Multifunctionality,6
System boundaries expansion,System boundaries expansion,System boundaries expansion,1
Yogurt,Yogurt,Yogurt,2
Serious games,Serious games,Serious games,5
LCSA,LCSA,LCSA,1
SLCA,SLCA,SLCA,2
Financialization,Financialization,Financialization,1
Sustainability strategy,Sustainability strategy,Sustainability strategy,1
TFP,TFP,TFP,2
Bio-wastes management,Bio-wastes management,Bio-wastes management,1
Acrylonitrile-butadiene-styrene,Acrylonitrile-butadiene-styrene,Acrylonitrile-butadiene-styrene,1
Marine macroalgae,Marine macroalgae,Marine macroalgae,2
energy autonomous systems,energy autonomous systems,energy autonomous systems,1
fibre-based sensors,fibre-based sensors,fibre-based sensors,1
jute fibers,jute fibers,jute fibers,1
sustainable energy storage,sustainable energy storage,sustainable energy storage,1
wearable electronics,wearable electronics,wearable electronics,1
Bio-polyester,Bio-polyester,Bio-polyester,1
Biosourcing,Biosourcing,Biosourcing,1
Polytrimethylene terephthalate,Polytrimethylene terephthalate,Polytrimethylene terephthalate,1
antioxidant activity,antioxidant activity,antioxidant activity,51
extractives,extractives,extractives,1
phytochemical composition,phytochemical composition,phytochemical composition,1
wood characterization,wood characterization,wood characterization,1
Phenomenology,Phenomenology,Phenomenology,2
Research through design,Research through design,Research through design,2
Genotoxicity,Genotoxicity,Genotoxicity,1
Organic materials,Organic materials,Organic materials,3
Plant pathogens,Plant pathogens,Plant pathogens,2
DEXi,DEXi,DEXi,1
Integrated multi-trophic aquaculture,Integrated multi-trophic aquaculture,Integrated multi-trophic aquaculture,3
Marine Aquaponics,Marine Aquaponics,Marine Aquaponics,1
Multi criteria analysis,Multi criteria analysis,Multi criteria analysis,1
emission reduction,emission reduction,emission reduction,6
Customers’ attitude,Customers’ attitude,Customers’ attitude,1
Customers’ behaviour,Customers’ behaviour,Customers’ behaviour,1
Ethical purchase intention,Ethical purchase intention,Ethical purchase intention,1
Retail,Retail,Retail,6
Cost analysis,Cost analysis,Cost analysis,7
Dual water pressurized network,Dual water pressurized network,Dual water pressurized network,1
Reclaimed water use,Reclaimed water use,Reclaimed water use,1
Oil shale/ash,Oil shale/ash,Oil shale/ash,1
SO2 capture,SO2 capture,SO2 capture,1
TG-DTA-FTIR/MS,TG-DTA-FTIR/MS,TG-DTA-FTIR/MS,1
Thermooxidative decomposition,Thermooxidative decomposition,Thermooxidative decomposition,1
Smart mobile devices,Smart mobile devices,Smart mobile devices,1
SustainablySMART,SustainablySMART,SustainablySMART,1
EU waste Law,EU waste Law,EU waste Law,1
Pre-market producer responsibility,Pre-market producer responsibility,Pre-market producer responsibility,1
Sustainable circularity,Sustainable circularity,Sustainable circularity,2
Smart specialisations,Smart specialisations,Smart specialisations,1
Waste electrical and electronic equipment management,Waste electrical and electronic equipment management,Waste electrical and electronic equipment management,1
Material selection,Material selection,Material selection,5
relationships,relationships,relationships,2
risk management,risk management,risk management,7
Fertiliser replacement value,Fertiliser replacement value,Fertiliser replacement value,1
Filter media,Filter media,Filter media,3
Household waste recycling priority survey,Household waste recycling priority survey,Household waste recycling priority survey,1
Microwave processing,Microwave processing,Microwave processing,2
MSWI bottom Ash,MSWI bottom Ash,MSWI bottom Ash,1
Georgescu-Roegen,Georgescu-Roegen,Georgescu-Roegen,1
Decarbonisation strategy,Decarbonisation strategy,Decarbonisation strategy,1
Energy potential map,Energy potential map,Energy potential map,1
Greenhouse gas inventory,Greenhouse gas inventory,Greenhouse gas inventory,1
Roadshow,Roadshow,Roadshow,1
Carbonosomes,Carbonosomes,Carbonosomes,1
Food waste economy,Food waste economy,Food waste economy,1
Food waste treatment,Food waste treatment,Food waste treatment,1
Recycling economics,Recycling economics,Recycling economics,1
dairy sector,dairy sector,dairy sector,1
mitigation,mitigation,mitigation,5
nitrification inhibitor,nitrification inhibitor,nitrification inhibitor,1
tropical grassland,tropical grassland,tropical grassland,1
accumulation rate,accumulation rate,accumulation rate,1
Area metabolism,Area metabolism,Area metabolism,2
clean coast index,clean coast index,clean coast index,1
hospitality industry,hospitality industry,hospitality industry,4
key performance indicators,key performance indicators,key performance indicators,5
microplastics,microplastics,microplastics,29
United Nations Sustainable Development Goals,United Nations Sustainable Development Goals,United Nations Sustainable Development Goals,4
waste compositional analysis,waste compositional analysis,waste compositional analysis,1
waste strategies,waste strategies,waste strategies,2
Multi-resource system,Multi-resource system,Multi-resource system,1
Total Circularity Index,Total Circularity Index,Total Circularity Index,1
enzyme catalysis,enzyme catalysis,enzyme catalysis,1
innovative materials,innovative materials,innovative materials,1
Value Chain,Value Chain,Value Chain,2
AJ®P,AJ®P,AJ®P,1
Nanometric carbon-based ashes,Nanometric carbon-based ashes,Nanometric carbon-based ashes,1
Eco‐efficient cements,Eco‐efficient cements,Eco‐efficient cements,1
Recyling,Recyling,Recyling,1
Review and perspective,Review and perspective,Review and perspective,1
Spent Lithium ion battery,Spent Lithium ion battery,Spent Lithium ion battery,1
Energy saving,Energy saving,Energy saving,8
Gum arabic,Gum arabic,Gum arabic,2
PCM,PCM,PCM,3
Sheep wool,Sheep wool,Sheep wool,2
Alkaline pretreatment,Alkaline pretreatment,Alkaline pretreatment,1
Methane yield,Methane yield,Methane yield,5
Solubilisation,Solubilisation,Solubilisation,1
Waste activated sludge,Waste activated sludge,Waste activated sludge,9
Key pathways,Key pathways,Key pathways,1
Manure and sewage management,Manure and sewage management,Manure and sewage management,1
Quantitative typology,Quantitative typology,Quantitative typology,1
design flexibility,design flexibility,design flexibility,1
design for remanufacturing,design for remanufacturing,design for remanufacturing,1
design optimization,design optimization,design optimization,2
setbased design,setbased design,setbased design,1
Expert survey,Expert survey,Expert survey,1
Political support system,Political support system,Political support system,1
Closed-cycle economy,Closed-cycle economy,Closed-cycle economy,1
Industry development,Industry development,Industry development,1
challenging context,challenging context,challenging context,1
sustainable business models,sustainable business models,sustainable business models,7
Built Environment,Built Environment,Built Environment,1
Integrated Model,Integrated Model,Integrated Model,1
"Augmented Reality, Europe","Augmented Reality, Europe","Augmented Reality, Europe",1
Social Network Analysis,Social Network Analysis,Social Network Analysis,3
Socio-technical Transition,Socio-technical Transition,Socio-technical Transition,1
Strategic Niche Management,Strategic Niche Management,Strategic Niche Management,1
Virtual Reality,Virtual Reality,Virtual Reality,3
business model innovation (BMI),business model innovation (BMI),business model innovation (BMI),3
circular business model (CBM),circular business model (CBM),circular business model (CBM),1
circular-born,circular-born,circular-born,1
fashion industry,fashion industry,fashion industry,13
startup,startup,startup,3
Green clubs,Green clubs,Green clubs,1
Bayer electrofilter powder (EP),Bayer electrofilter powder (EP),Bayer electrofilter powder (EP),1
High temperature structural insulator (HTSI),High temperature structural insulator (HTSI),High temperature structural insulator (HTSI),1
Hot wall insulators,Hot wall insulators,Hot wall insulators,1
Mullite,Mullite,Mullite,1
financial analysis,financial analysis,financial analysis,1
Solidarity economy,Solidarity economy,Solidarity economy,2
waste pickers,waste pickers,waste pickers,9
Digitisation,Digitisation,Digitisation,2
Acute hepatopancreatic necrosis disease,Acute hepatopancreatic necrosis disease,Acute hepatopancreatic necrosis disease,1
Alternative protein source,Alternative protein source,Alternative protein source,1
Early mortality syndrome,Early mortality syndrome,Early mortality syndrome,1
Purple phototrophic bacteria,Purple phototrophic bacteria,Purple phototrophic bacteria,3
Raceway pond,Raceway pond,Raceway pond,1
flow chemistry,flow chemistry,flow chemistry,2
microreactors,microreactors,microreactors,1
vitamin D<sub>3</sub>,vitamin D<sub>3</sub>,vitamin D<sub>3</sub>,1
fashion circular economy,fashion circular economy,fashion circular economy,1
product lifecycle,product lifecycle,product lifecycle,5
Re-Manufacturing,Re-Manufacturing,Re-Manufacturing,1
Operation parameters,Operation parameters,Operation parameters,1
Sulfur,Sulfur,Sulfur,3
Synthesis stoichiome-try,Synthesis stoichiome-try,Synthesis stoichiome-try,1
Barriers to use,Barriers to use,Barriers to use,1
Feathers,Feathers,Feathers,3
Fibres,Fibres,Fibres,2
Sanitary quality,Sanitary quality,Sanitary quality,1
Waste managemen,Waste managemen,Waste managemen,1
chitosan,chitosan,chitosan,23
food protection,food protection,food protection,1
Efficiency assessment,Efficiency assessment,Efficiency assessment,1
Investment project,Investment project,Investment project,2
Air quality index,Air quality index,Air quality index,1
Circular brick manufacturing,Circular brick manufacturing,Circular brick manufacturing,1
Top-soil loss prevention,Top-soil loss prevention,Top-soil loss prevention,1
mixed-integer non-linear programming,mixed-integer non-linear programming,mixed-integer non-linear programming,1
multi-objective programming,multi-objective programming,multi-objective programming,1
non-linear programming,non-linear programming,non-linear programming,2
python,python,python,2
water and energy integration,water and energy integration,water and energy integration,1
water-energy networks,water-energy networks,water-energy networks,1
Fuzzy inference model,Fuzzy inference model,Fuzzy inference model,1
Sustainable production planning,Sustainable production planning,Sustainable production planning,2
beef,beef,beef,3
cold chain,cold chain,cold chain,1
Metabolism,Metabolism,Metabolism,2
agro-industrial complex,agro-industrial complex,agro-industrial complex,1
closed cycle,closed cycle,closed cycle,1
innovative technologies,innovative technologies,innovative technologies,5
Dy(III),Dy(III),Dy(III),1
Sponge,Sponge,Sponge,1
Titanium phosphate,Titanium phosphate,Titanium phosphate,1
Design for environment,Design for environment,Design for environment,5
Printed electronics,Printed electronics,Printed electronics,1
Sustainability screening,Sustainability screening,Sustainability screening,3
Membranes,Membranes,Membranes,14
Mixed integer nonlinear programming,Mixed integer nonlinear programming,Mixed integer nonlinear programming,2
Water network integration,Water network integration,Water network integration,1
Futures Studies,Futures Studies,Futures Studies,1
Strategic Foresight,Strategic Foresight,Strategic Foresight,1
Functional reuse,Functional reuse,Functional reuse,1
Agent-based modeling,Agent-based modeling,Agent-based modeling,9
Confectionery,Confectionery,Confectionery,1
ecosystem-services,ecosystem-services,ecosystem-services,1
Acid pretreatment,Acid pretreatment,Acid pretreatment,2
CellicCtec2,CellicCtec2,CellicCtec2,1
Value addition,Value addition,Value addition,3
Data Science,Data Science,Data Science,2
Mental Maps,Mental Maps,Mental Maps,1
Organizational Knowledge,Organizational Knowledge,Organizational Knowledge,1
"Sustainability, Sanitation, Circular Economy","Sustainability, Sanitation, Circular Economy","Sustainability, Sanitation, Circular Economy",1
discrete event simulation,discrete event simulation,discrete event simulation,2
material flow modeling,material flow modeling,material flow modeling,2
multiscale modeling,multiscale modeling,multiscale modeling,2
Electrokinetics,Electrokinetics,Electrokinetics,1
REE recovery,REE recovery,REE recovery,3
Biobased polymers,Biobased polymers,Biobased polymers,5
Green solvents,Green solvents,Green solvents,7
FEM,FEM,FEM,4
Machine design,Machine design,Machine design,1
Multiphase machines,Multiphase machines,Multiphase machines,1
Synchronous reluctance motor,Synchronous reluctance motor,Synchronous reluctance motor,1
Winding factor,Winding factor,Winding factor,1
Fluorescent lamps,Fluorescent lamps,Fluorescent lamps,1
Rare Earth Elements,Rare Earth Elements,Rare Earth Elements,2
education for sustainable development,education for sustainable development,education for sustainable development,3
entrepreneurial education,entrepreneurial education,entrepreneurial education,1
game based learning,game based learning,game based learning,1
secondary education,secondary education,secondary education,1
serious games,serious games,serious games,1
economization policies,economization policies,economization policies,1
source-separated collection,source-separated collection,source-separated collection,1
valuation,valuation,valuation,5
waste recovery,waste recovery,waste recovery,22
Agri-food chain,Agri-food chain,Agri-food chain,4
Permeability,Permeability,Permeability,7
SUDS,SUDS,SUDS,3
Corrosion control,Corrosion control,Corrosion control,1
Integrated nanocatalyst,Integrated nanocatalyst,Integrated nanocatalyst,1
Sustainable nanomaterial,Sustainable nanomaterial,Sustainable nanomaterial,1
Vietnamese coal mining industry,Vietnamese coal mining industry,Vietnamese coal mining industry,1
Pharmaceutical manufacturing,Pharmaceutical manufacturing,Pharmaceutical manufacturing,1
Waste and energy recovery,Waste and energy recovery,Waste and energy recovery,1
Cost minimization,Cost minimization,Cost minimization,1
Network optimization,Network optimization,Network optimization,1
Technogenic deposits,Technogenic deposits,Technogenic deposits,1
Technogenic mineral accumulations,Technogenic mineral accumulations,Technogenic mineral accumulations,1
construction application,construction application,construction application,1
powder-based 3D printing,powder-based 3D printing,powder-based 3D printing,1
sewage sludge ash,sewage sludge ash,sewage sludge ash,3
waste recycling,waste recycling,waste recycling,20
waste-to-resource,waste-to-resource,waste-to-resource,2
absorbent hygiene products (AHPs),absorbent hygiene products (AHPs),absorbent hygiene products (AHPs),1
system perspective,system perspective,system perspective,2
waste management/recycling,waste management/recycling,waste management/recycling,1
business,business,business,8
entrepreneurship,entrepreneurship,entrepreneurship,14
Lutein,Lutein,Lutein,6
Muriellopsis sp,Muriellopsis sp,Muriellopsis sp,1
Pilot-scale treatment,Pilot-scale treatment,Pilot-scale treatment,1
Materials,Materials,Materials,18
Scopus,Scopus,Scopus,7
closed-loop supply chains,closed-loop supply chains,closed-loop supply chains,12
product recovery,product recovery,product recovery,4
extrusion,extrusion,extrusion,9
mechanical recycling,mechanical recycling,mechanical recycling,24
packaging,packaging,packaging,31
Crosslinks,Crosslinks,Crosslinks,1
Devulcanization,Devulcanization,Devulcanization,5
Waste rubber tire,Waste rubber tire,Waste rubber tire,1
5R principles,5R principles,5R principles,1
Circular economy in construction,Circular economy in construction,Circular economy in construction,1
Strategic implementation,Strategic implementation,Strategic implementation,1
Dechlorination,Dechlorination,Dechlorination,1
Stepwise,Stepwise,Stepwise,1
WEEE plastic-rich fractions,WEEE plastic-rich fractions,WEEE plastic-rich fractions,1
Composite product design,Composite product design,Composite product design,1
Sustainable composites,Sustainable composites,Sustainable composites,4
Agglomeration,Agglomeration,Agglomeration,3
Circular econo,Circular econo,Circular econo,1
Fine coal,Fine coal,Fine coal,1
Decision making factors,Decision making factors,Decision making factors,1
Rewards program,Rewards program,Rewards program,1
Sharing Platform,Sharing Platform,Sharing Platform,1
User background experience,User background experience,User background experience,1
User behaviour,User behaviour,User behaviour,2
cost-model,cost-model,cost-model,1
Malawi,Malawi,Malawi,1
time-motion analysis,time-motion analysis,time-motion analysis,1
MCDM,MCDM,MCDM,26
Reducing,Reducing,Reducing,2
Reusing,Reusing,Reusing,4
collaborative circular economy,collaborative circular economy,collaborative circular economy,1
FIFA world cup,FIFA world cup,FIFA world cup,1
sharing economy,sharing economy,sharing economy,19
Property rights,Property rights,Property rights,2
Pineapple waste,Pineapple waste,Pineapple waste,3
Processing facilities,Processing facilities,Processing facilities,1
Uganda,Uganda,Uganda,3
Edge,Edge,Edge,1
Infra-scape,Infra-scape,Infra-scape,1
Circular industrial chain,Circular industrial chain,Circular industrial chain,1
Stability strategy,Stability strategy,Stability strategy,1
Circular economy. Entrepreneurship. Circular business models. Entrepreneurial behavior. Sustainability,Circular economy. Entrepreneurship. Circular business models. Entrepreneurial behavior. Sustainability,Circular economy. Entrepreneurship. Circular business models. Entrepreneurial behavior. Sustainability,1
Circularity indicator,Circularity indicator,Circularity indicator,14
Measurement,Measurement,Measurement,6
Operationalisation,Operationalisation,Operationalisation,2
Resource cycle,Resource cycle,Resource cycle,2
Slowing loop,Slowing loop,Slowing loop,2
iron and steel,iron and steel,iron and steel,2
quantitative method,quantitative method,quantitative method,1
Process Integration,Process Integration,Process Integration,3
Solid Waste Integration,Solid Waste Integration,Solid Waste Integration,1
Total EcoSite Integration,Total EcoSite Integration,Total EcoSite Integration,1
Urban and industrial symbiosis,Urban and industrial symbiosis,Urban and industrial symbiosis,1
Data management,Data management,Data management,6
automobile industry,automobile industry,automobile industry,1
environment,environment,environment,70
fuzzy TOPSIS,fuzzy TOPSIS,fuzzy TOPSIS,4
roadblocks,roadblocks,roadblocks,1
Construction & demolition wastes (C&DW),Construction & demolition wastes (C&DW),Construction & demolition wastes (C&DW),1
Recycled aggregates concrete,Recycled aggregates concrete,Recycled aggregates concrete,1
Residential building materials,Residential building materials,Residential building materials,1
Ecological protection,Ecological protection,Ecological protection,2
Science and technology enterprises,Science and technology enterprises,Science and technology enterprises,1
necessity entrepreneurship,necessity entrepreneurship,necessity entrepreneurship,1
opportunity entrepreneurship,opportunity entrepreneurship,opportunity entrepreneurship,1
Block copolymers,Block copolymers,Block copolymers,1
Insertion polymerization,Insertion polymerization,Insertion polymerization,1
Metathesis,Metathesis,Metathesis,2
Thermoplastic elastomers,Thermoplastic elastomers,Thermoplastic elastomers,2
flies,flies,flies,1
nutritional profile,nutritional profile,nutritional profile,2
organic streams,organic streams,organic streams,1
consumer attitudes,consumer attitudes,consumer attitudes,2
edible insects,edible insects,edible insects,14
Probability sampling procedure,Probability sampling procedure,Probability sampling procedure,1
Public behavior,Public behavior,Public behavior,1
Rural domestic waste classification,Rural domestic waste classification,Rural domestic waste classification,1
circular maturity assessment,circular maturity assessment,circular maturity assessment,1
maturity assessment,maturity assessment,maturity assessment,1
Cellulosic materials,Cellulosic materials,Cellulosic materials,1
Handmade paper,Handmade paper,Handmade paper,1
Global change,Global change,Global change,1
Hemp fibers,Hemp fibers,Hemp fibers,1
Hemp waste,Hemp waste,Hemp waste,1
LLDPE,LLDPE,LLDPE,1
Reinforced composite,Reinforced composite,Reinforced composite,2
E-waste recycling,E-waste recycling,E-waste recycling,6
Organic pollutants,Organic pollutants,Organic pollutants,3
TCLP,TCLP,TCLP,2
VOC/PAH emission and health risks,VOC/PAH emission and health risks,VOC/PAH emission and health risks,1
Augmented Weighted Tchebycheff approach,Augmented Weighted Tchebycheff approach,Augmented Weighted Tchebycheff approach,1
ε-Constraint method,ε-Constraint method,ε-Constraint method,1
Material properties,Material properties,Material properties,5
Mixed wastes,Mixed wastes,Mixed wastes,1
Polymer recycling,Polymer recycling,Polymer recycling,7
Processability,Processability,Processability,1
Business,Business,Business,11
Eco-friendly packaging,Eco-friendly packaging,Eco-friendly packaging,1
Green logistics,Green logistics,Green logistics,9
Green packaging,Green packaging,Green packaging,2
Sustainable packaging,Sustainable packaging,Sustainable packaging,13
innovative feed ingredients,innovative feed ingredients,innovative feed ingredients,1
substrates,substrates,substrates,5
Biochemical conversion,Biochemical conversion,Biochemical conversion,2
Extracellular polymeric substances,Extracellular polymeric substances,Extracellular polymeric substances,9
Extraction and recovery,Extraction and recovery,Extraction and recovery,1
Waste granular sludge management,Waste granular sludge management,Waste granular sludge management,1
Ground granulated blast furnace slag,Ground granulated blast furnace slag,Ground granulated blast furnace slag,5
adsorbent,adsorbent,adsorbent,7
consumer acceptance,consumer acceptance,consumer acceptance,5
upcycled ingredients,upcycled ingredients,upcycled ingredients,2
willingness-to-pay,willingness-to-pay,willingness-to-pay,1
Municipal waste recycling,Municipal waste recycling,Municipal waste recycling,1
Panel cointegration and causality analyses,Panel cointegration and causality analyses,Panel cointegration and causality analyses,1
Coefficient of friction,Coefficient of friction,Coefficient of friction,1
Textile fabrics,Textile fabrics,Textile fabrics,2
Textile Industries,Textile Industries,Textile Industries,1
Tribology,Tribology,Tribology,5
Wear,Wear,Wear,8
Collaborative consumption,Collaborative consumption,Collaborative consumption,12
Urban mobility,Urban mobility,Urban mobility,1
circuits of value,circuits of value,circuits of value,1
diverse economy,diverse economy,diverse economy,3
local economic development,local economic development,local economic development,2
social enterprise,social enterprise,social enterprise,5
diffusive mass transport,diffusive mass transport,diffusive mass transport,1
filamentous fungal pellets,filamentous fungal pellets,filamentous fungal pellets,1
three-dimensional morphological measurements and simulations,three-dimensional morphological measurements and simulations,three-dimensional morphological measurements and simulations,1
X-ray microcomputed tomography,X-ray microcomputed tomography,X-ray microcomputed tomography,1
Root cause,Root cause,Root cause,1
Carrier materials,Carrier materials,Carrier materials,1
Complex coacervation,Complex coacervation,Complex coacervation,1
Microcapsules,Microcapsules,Microcapsules,1
Microparticles,Microparticles,Microparticles,2
Spray drying,Spray drying,Spray drying,3
Marketing research,Marketing research,Marketing research,1
Smartphone manufacturing,Smartphone manufacturing,Smartphone manufacturing,1
carbon budget,carbon budget,carbon budget,2
carbon budget 1.5 °C,carbon budget 1.5 °C,carbon budget 1.5 °C,1
Direct Air Capture (DAC),Direct Air Capture (DAC),Direct Air Capture (DAC),2
fossil fuels,fossil fuels,fossil fuels,3
geothermal energy,geothermal energy,geothermal energy,3
hydropower,hydropower,hydropower,1
wind energy,wind energy,wind energy,5
Offshore oil sludge,Offshore oil sludge,Offshore oil sludge,1
Side wall waste tire,Side wall waste tire,Side wall waste tire,1
Agro-plastics,Agro-plastics,Agro-plastics,1
Life expectancy,Life expectancy,Life expectancy,2
Mulching material,Mulching material,Mulching material,1
Polylactic acid fibres,Polylactic acid fibres,Polylactic acid fibres,1
Business plan,Business plan,Business plan,2
Padel,Padel,Padel,1
Aerospace,Aerospace,Aerospace,2
Self-healing,Self-healing,Self-healing,12
Farmers’ acceptance,Farmers’ acceptance,Farmers’ acceptance,1
Water contamination,Water contamination,Water contamination,1
Industrial symbiosis system,Industrial symbiosis system,Industrial symbiosis system,1
ISSWFMA,ISSWFMA,ISSWFMA,1
Jinchang City,Jinchang City,Jinchang City,1
Waste flow,Waste flow,Waste flow,2
Copper slags,Copper slags,Copper slags,2
Insect frass,Insect frass,Insect frass,2
Acid aggressiveness,Acid aggressiveness,Acid aggressiveness,1
Cut-off walls,Cut-off walls,Cut-off walls,2
Fluidized-bed fly-ash,Fluidized-bed fly-ash,Fluidized-bed fly-ash,1
Hardening slurries,Hardening slurries,Hardening slurries,2
agri-food sector,agri-food sector,agri-food sector,5
policy framework,policy framework,policy framework,3
Best-worst scaling,Best-worst scaling,Best-worst scaling,1
Competence,Competence,Competence,1
Digitalization in life cycle extension,Digitalization in life cycle extension,Digitalization in life cycle extension,1
Life cycle extension strategies,Life cycle extension strategies,Life cycle extension strategies,2
Portland cement mortars,Portland cement mortars,Portland cement mortars,1
SEM/EDS,SEM/EDS,SEM/EDS,1
Colombia,Colombia,Colombia,5
Success factors and research,Success factors and research,Success factors and research,1
Biofertiliser,Biofertiliser,Biofertiliser,1
fertiliser value,fertiliser value,fertiliser value,1
organic matter,organic matter,organic matter,9
soil health,soil health,soil health,15
Proposals,Proposals,Proposals,1
Recyclable,Recyclable,Recyclable,1
Bivalve shells,Bivalve shells,Bivalve shells,1
Carbon trading market,Carbon trading market,Carbon trading market,1
Inertization time,Inertization time,Inertization time,1
Renewable calcium carbonate,Renewable calcium carbonate,Renewable calcium carbonate,1
Intention–behavior gap,Intention–behavior gap,Intention–behavior gap,1
Sustainable develop-ment,Sustainable develop-ment,Sustainable develop-ment,1
Emilia-Romagna region,Emilia-Romagna region,Emilia-Romagna region,1
Financial aspect,Financial aspect,Financial aspect,1
Legal–regulatory aspects,Legal–regulatory aspects,Legal–regulatory aspects,1
Market orientation,Market orientation,Market orientation,1
characteristic slope,characteristic slope,characteristic slope,1
Conductivity classification,Conductivity classification,Conductivity classification,1
eddy current testing,eddy current testing,eddy current testing,1
nonmagnetic metal,nonmagnetic metal,nonmagnetic metal,1
tilt,tilt,tilt,1
Duracid,Duracid,Duracid,1
Modelling acid transport,Modelling acid transport,Modelling acid transport,1
Scaling-up,Scaling-up,Scaling-up,2
Sulphuric acid effluents,Sulphuric acid effluents,Sulphuric acid effluents,1
biosurfactant,biosurfactant,biosurfactant,6
economic,economic,economic,4
inventory,inventory,inventory,2
oil-cake,oil-cake,oil-cake,1
solid-state fermentation,solid-state fermentation,solid-state fermentation,11
sophorolipid,sophorolipid,sophorolipid,1
wheat straw,wheat straw,wheat straw,3
Environmental situation,Environmental situation,Environmental situation,1
foaming,foaming,foaming,4
galactoglucomannan,galactoglucomannan,galactoglucomannan,1
interfacial interactions,interfacial interactions,interfacial interactions,2
polysaccharide interactions,polysaccharide interactions,polysaccharide interactions,1
Regional policy,Regional policy,Regional policy,5
Smart specialisation,Smart specialisation,Smart specialisation,3
Abiotic resource use,Abiotic resource use,Abiotic resource use,1
Circular economy indicator,Circular economy indicator,Circular economy indicator,2
Circular product use,Circular product use,Circular product use,1
Global warming impact,Global warming impact,Global warming impact,1
Medical products,Medical products,Medical products,1
Experimentation,Experimentation,Experimentation,7
Urban collaboratory,Urban collaboratory,Urban collaboratory,1
Urban transformation,Urban transformation,Urban transformation,2
Abandonment,Abandonment,Abandonment,1
Inner areas,Inner areas,Inner areas,1
Place-based,Place-based,Place-based,2
Digital performance,Digital performance,Digital performance,1
data,data,data,4
digital framework,digital framework,digital framework,2
survey,survey,survey,15
dynamic global warming potential,dynamic global warming potential,dynamic global warming potential,1
metallurgical slags valorization,metallurgical slags valorization,metallurgical slags valorization,1
Green enterprises,Green enterprises,Green enterprises,1
green jobs,green jobs,green jobs,4
Building service systems,Building service systems,Building service systems,1
Lajos Kossuth House,Lajos Kossuth House,Lajos Kossuth House,1
Traditional Knowledge Systems,Traditional Knowledge Systems,Traditional Knowledge Systems,1
Traditional Kutahya houses,Traditional Kutahya houses,Traditional Kutahya houses,1
Chlorella vulgaris,Chlorella vulgaris,Chlorella vulgaris,8
Microalgal biorefinery,Microalgal biorefinery,Microalgal biorefinery,2
Paper industry effluents,Paper industry effluents,Paper industry effluents,1
Business model canvas,Business model canvas,Business model canvas,1
Fintech,Fintech,Fintech,6
Design for adaptability,Design for adaptability,Design for adaptability,3
Design for disassembling,Design for disassembling,Design for disassembling,1
Quercus cerris engineered wood,Quercus cerris engineered wood,Quercus cerris engineered wood,1
Distinct urban mine,Distinct urban mine,Distinct urban mine,3
ISB Model,ISB Model,ISB Model,1
Lignocellulosic wastes,Lignocellulosic wastes,Lignocellulosic wastes,2
Sustainable feedstocks,Sustainable feedstocks,Sustainable feedstocks,1
Chainsaw,Chainsaw,Chainsaw,1
Sharing platform,Sharing platform,Sharing platform,1
Thermoelectric modules,Thermoelectric modules,Thermoelectric modules,1
Toxicity and scarcity,Toxicity and scarcity,Toxicity and scarcity,1
comprehensiveness in the CE,comprehensiveness in the CE,comprehensiveness in the CE,1
copos descartáveis (CSU),copos descartáveis (CSU),copos descartáveis (CSU),1
Economia circular (CE),Economia circular (CE),Economia circular (CE),1
Economía circular (EC),Economía circular (EC),Economía circular (EC),1
integralidad en la EC,integralidad en la EC,integralidad en la EC,1
integralidade em CE,integralidade em CE,integralidade em CE,1
producción y consumo soste-nible,producción y consumo soste-nible,producción y consumo soste-nible,1
produção e consumo sustentáveis,produção e consumo sustentáveis,produção e consumo sustentáveis,1
single-use glasses (SUG),single-use glasses (SUG),single-use glasses (SUG),1
sustainable production and consumption,sustainable production and consumption,sustainable production and consumption,8
vasos de único uso (VSU),vasos de único uso (VSU),vasos de único uso (VSU),1
Design brief,Design brief,Design brief,1
Industry collaboration,Industry collaboration,Industry collaboration,2
Internship programme,Internship programme,Internship programme,1
Ecotoxicity assay,Ecotoxicity assay,Ecotoxicity assay,1
Metallic trace elements,Metallic trace elements,Metallic trace elements,1
PPCPs,PPCPs,PPCPs,3
Food sustainability,Food sustainability,Food sustainability,6
Gelatin,Gelatin,Gelatin,4
Mechanically deboned chicken meat (MDCM) by-product,Mechanically deboned chicken meat (MDCM) by-product,Mechanically deboned chicken meat (MDCM) by-product,1
LLMC position,LLMC position,LLMC position,1
LLMC steps,LLMC steps,LLMC steps,1
Membrane drying,Membrane drying,Membrane drying,1
Streams inputs,Streams inputs,Streams inputs,1
Basic research,Basic research,Basic research,1
Technological development,Technological development,Technological development,3
Technological trajectory,Technological trajectory,Technological trajectory,2
